"X.run.number.","game","cost","initial_propD","benefit","baseline_fitness","neighborhood","play_spatial","X.step.","count.patches.with..strategy_current....C..","r","freq_c"
"83",85,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",1000,2499,0.0526315789473684,0.9996
"86",86,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",825,2500,0.0526315789473684,1
"87",87,"\"HD\"",0.1,0.01,1,0,"\"von neumann_r=1\"","true",934,2500,0.0526315789473684,1
"91",94,"\"HD\"",0.2,0.01,1,0,"\"von neumann_r=1\"","true",1000,2498,0.111111111111111,0.9992
"92",95,"\"HD\"",0.2,0.01,1,0,"\"von neumann_r=1\"","true",890,2500,0.111111111111111,1
"93",96,"\"HD\"",0.2,0.01,1,0,"\"von neumann_r=1\"","true",598,2500,0.111111111111111,1
"100",103,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2470,0.176470588235294,0.988
"101",104,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2473,0.176470588235294,0.9892
"103",105,"\"HD\"",0.3,0.01,1,0,"\"von neumann_r=1\"","true",1000,2472,0.176470588235294,0.9888
"110",112,"\"HD\"",0.4,0.01,1,0,"\"von neumann_r=1\"","true",1000,2174,0.25,0.8696
"111",113,"\"HD\"",0.4,0.01,1,0,"\"von neumann_r=1\"","true",1000,2398,0.25,0.9592
"113",114,"\"HD\"",0.4,0.01,1,0,"\"von neumann_r=1\"","true",1000,1961,0.25,0.7844
"118",121,"\"HD\"",0.5,0.01,1,0,"\"von neumann_r=1\"","true",1000,1436,0.333333333333333,0.5744
"119",122,"\"HD\"",0.5,0.01,1,0,"\"von neumann_r=1\"","true",1000,1445,0.333333333333333,0.578
"120",123,"\"HD\"",0.5,0.01,1,0,"\"von neumann_r=1\"","true",1000,1417,0.333333333333333,0.5668
"127",130,"\"HD\"",0.6,0.01,1,0,"\"von neumann_r=1\"","true",1000,1116,0.428571428571429,0.4464
"128",131,"\"HD\"",0.6,0.01,1,0,"\"von neumann_r=1\"","true",1000,1111,0.428571428571429,0.4444
"130",132,"\"HD\"",0.6,0.01,1,0,"\"von neumann_r=1\"","true",1000,1123,0.428571428571429,0.4492
"136",139,"\"HD\"",0.7,0.01,1,0,"\"von neumann_r=1\"","true",1000,706,0.538461538461538,0.2824
"137",140,"\"HD\"",0.7,0.01,1,0,"\"von neumann_r=1\"","true",1000,728,0.538461538461538,0.2912
"138",141,"\"HD\"",0.7,0.01,1,0,"\"von neumann_r=1\"","true",1000,719,0.538461538461538,0.2876
"145",148,"\"HD\"",0.8,0.01,1,0,"\"von neumann_r=1\"","true",1000,100,0.666666666666667,0.04
"146",149,"\"HD\"",0.8,0.01,1,0,"\"von neumann_r=1\"","true",1000,88,0.666666666666667,0.0352
"147",150,"\"HD\"",0.8,0.01,1,0,"\"von neumann_r=1\"","true",1000,125,0.666666666666667,0.05
"154",157,"\"HD\"",0.9,0.01,1,0,"\"von neumann_r=1\"","true",393,0,0.818181818181818,0
"155",158,"\"HD\"",0.9,0.01,1,0,"\"von neumann_r=1\"","true",334,0,0.818181818181818,0
"156",159,"\"HD\"",0.9,0.01,1,0,"\"von neumann_r=1\"","true",364,0,0.818181818181818,0
